centre,left,right,sa
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_22_728.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_22_728.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_22_728.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_22_809.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_22_809.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_22_809.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_22_878.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_22_878.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_22_878.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_22_951.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_22_951.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_22_951.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_032.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_032.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_032.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_113.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_113.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_113.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_179.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_179.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_179.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_262.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_262.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_262.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_338.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_338.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_338.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_413.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_413.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_413.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_484.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_484.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_484.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_563.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_563.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_563.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_635.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_635.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_635.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_714.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_714.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_714.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_793.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_793.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_793.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_867.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_867.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_867.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_23_950.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_23_950.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_23_950.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_027.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_027.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_027.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_095.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_095.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_095.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_170.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_170.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_170.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_250.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_250.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_250.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_326.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_326.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_326.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_398.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_398.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_398.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_475.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_475.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_475.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_552.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_552.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_552.jpg,-0.2
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_631.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_631.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_631.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_698.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_698.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_698.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_779.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_779.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_779.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_859.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_859.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_859.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_24_935.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_24_935.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_24_935.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_012.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_012.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_012.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_078.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_078.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_078.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_160.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_160.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_160.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_235.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_235.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_235.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_314.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_314.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_314.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_390.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_390.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_390.jpg,-0.1
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_465.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_465.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_465.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_545.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_545.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_545.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_619.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_619.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_619.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_698.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_698.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_698.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_775.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_775.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_775.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_848.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_848.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_848.jpg,-0.05
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_25_929.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_25_929.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_25_929.jpg,-0.25
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_005.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_005.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_005.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_083.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_083.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_083.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_165.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_165.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_165.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_245.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_245.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_245.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_324.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_324.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_324.jpg,-0.15
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_402.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_402.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_402.jpg,-0.35
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_482.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_482.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_482.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_561.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_561.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_561.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_636.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_636.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_636.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_715.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_715.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_715.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_783.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_783.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_783.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_848.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_848.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_848.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_930.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_930.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_930.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_26_998.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_26_998.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_26_998.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_081.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_081.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_081.jpg,0.15
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_161.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_161.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_161.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_237.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_237.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_237.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_314.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_314.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_314.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_396.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_396.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_396.jpg,-0.05
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_476.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_476.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_476.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_559.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_559.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_559.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_635.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_635.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_635.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_715.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_715.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_715.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_797.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_797.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_797.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_874.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_874.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_874.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_27_952.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_27_952.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_27_952.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_032.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_032.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_032.jpg,-0.2
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_114.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_114.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_114.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_192.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_192.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_192.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_270.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_270.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_270.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_348.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_348.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_348.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_416.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_416.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_416.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_498.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_498.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_498.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_574.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_574.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_574.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_651.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_651.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_651.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_730.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_730.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_730.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_808.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_808.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_808.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_889.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_889.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_889.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_28_965.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_28_965.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_28_965.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_033.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_033.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_033.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_115.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_115.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_115.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_193.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_193.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_193.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_270.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_270.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_270.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_347.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_347.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_347.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_415.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_415.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_415.jpg,-0.05
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_482.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_482.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_482.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_564.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_564.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_564.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_29_634.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_29_634.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_29_634.jpg,0
